AS Description;Country Code;State;City;Postalcode;Coreg Path;Male/Female;Source;Subid;Age;IP Numerized;Latitude (generated);Longitude (generated);Source + Sub Id;State + City;Hour;Day;Week;DOW;Time Category;Month_Dob;SSD Full Qual
NEBRASKALINK;US;NE;LEXINGTON;68850;35;0;whatifmedia-sweeps-linkout;1728;53.0;1759138459;40.7808;-99.7415;whatifmedia-sweeps-linkout - 1728;NE - LEXINGTON;23;30;22;Thursday;18 - 24;2;1
BHN-33363;US;FL;PALM BAY;32905;sweepstakesalerts;0;launchpotato-linkout;1522;53.0;844751320;28.0332;-80.643;launchpotato-linkout - 1522;FL - PALM BAY;23;30;22;Thursday;18 - 24;7;0
MEDIACOM-ENTERPRISE-BUSINESS;US;IL;JACKSONVILLE;62650;FoundCashNow;0;zeetolinkout-multioffer;Digipropz, LLC;52.0;844206499;39.7343;-90.2288;zeetolinkout-multioffer - Digipropz, LLC;IL - JACKSONVILLE;23;30;22;Thursday;18 - 24;11;0
TWC-11426-CAROLINAS;US;SC;HARTSVILLE;29550;FoundCashNow;0;zeetolinkout-multioffer;Digipropz, LLC;51.0;1277452549;34.374;-80.0734;zeetolinkout-multioffer - Digipropz, LLC;SC - HARTSVILLE;23;30;22;Thursday;18 - 24;7;0
T-MOBILE-AS21928;US;FL;TAMPA;34221;sweepstakesalerts;0;launchpotato-linkout;1947;52.0;2889376208;27.9478;-82.4584;launchpotato-linkout - 1947;FL - TAMPA;23;30;22;Thursday;18 - 24;8;0
ATT-INTERNET4;US;AL;COTTONDALE;35453;27;0;whatifmedia-linkout;2024;53.0;1672317764;33.1896;-87.4517;whatifmedia-linkout - 2024;AL - COTTONDALE;23;30;22;Thursday;18 - 24;2;0
AS-CMN;US;IL;MILAN;61264;44;0;whatifmedia-linkout;1628;58.0;3629254197;41.4531;-90.5721;whatifmedia-linkout - 1628;IL - MILAN;23;30;22;Thursday;18 - 24;9;0
T-MOBILE-AS21928;US;MO;ST LOUIS;63104;sweepstakesalerts;0;launchpotato-linkout;1672;59.0;2889591680;38.63;-90.19;launchpotato-linkout - 1672;MO - ST LOUIS;23;30;22;Thursday;18 - 24;3;0
TWC-11426-CAROLINAS;US;NC;WILSON;27828;sweepstakesalerts;0;launchpotato-linkout;1617;52.0;1270248210;35.7213;-77.9155;launchpotato-linkout - 1617;NC - WILSON;23;30;22;Thursday;18 - 24;9;0
ATLANTICBB-JOHNSTOWN;US;NY;SALAMANCA;14779;FoundCashNow;1;zeetolinkout-multioffer;Digipropz, LLC;52.0;2891253210;42.1578;-78.715;zeetolinkout-multioffer - Digipropz, LLC;NY - SALAMANCA;23;30;22;Thursday;18 - 24;1;0
CLOUDFLARENET;US;FL;MIAMI;33125;FoundCashNow;1;zeetolinkout-multioffer;Digipropz, LLC;60.0;1746689705;25.7743;-80.1937;zeetolinkout-multioffer - Digipropz, LLC;FL - MIAMI;23;30;22;Thursday;18 - 24;4;0
ASN-CXA-ALL-CCI-22773-RDC;US;OK;OKLAHOMA CITY;73112;5;0;whatifmedia-linkout;1799;63.0;1155908388;35.473;-97.5171;whatifmedia-linkout - 1799;OK - OKLAHOMA CITY;23;30;22;Thursday;18 - 24;8;0
WINDSTREAM;US;GA;GLENNVILLE;30467;sweepstakesalerts;0;launchpotato-linkout;1617;56.0;1193117530;31.9366;-81.9285;launchpotato-linkout - 1617;GA - GLENNVILLE;23;30;22;Thursday;18 - 24;12;0
CELLCO-PART;US;PA;MOUNT CARMEL;17851;9;1;whatifmedia-linkout;1006;53.0;1636899326;40.797;-76.4119;whatifmedia-linkout - 1006;PA - MOUNT CARMEL;23;30;22;Thursday;18 - 24;9;0
UPNLLC;US;IA;DAVENPORT;52806;try.bigwinsweepstakes.com;1;viprev-linkout;a872b83d2506ebd6777f6b01b0937488;51.0;1090248090;41.5236;-90.5776;viprev-linkout - a872b83d2506ebd6777f6b01b0937488;IA - DAVENPORT;23;30;22;Thursday;18 - 24;3;0
ATT-INTERNET4;US;FL;DOYLESTOWN;32901;sweepstakesalerts;0;launchpotato-linkout;1672;53.0;2798089264;36.6309;-82.65;launchpotato-linkout - 1672;FL - DOYLESTOWN;23;30;22;Thursday;18 - 24;4;0
COMCAST-7922;US;AL;FLORENCE;35630;sweepstakesalerts;0;launchpotato-linkout;1522;60.0;1143162607;34.7998;-87.6773;launchpotato-linkout - 1522;AL - FLORENCE;23;30;22;Thursday;18 - 24;6;0
